"plot","case","plant","burndate","L/D","hobo.can","ptemp.can","dur.can","nsec.can","degmin.can","hobo.sur","ptemp.sur","dur.sur","nsec.sur","degmin.sur","spcode","basal.width.mm","basal.length.mm","diamat75cm.mm","perc50.diam.mm","leaf.length.cm","plant.length.cm","mort09"
11,1,84,"090824",,1253389,357.3,277,278,560.591,1253388,73.09,324,325,361.479333,"Arpu",36.92,50.6,17.94,7.91,"NA",50.5,1
11,2,85,"090824",,1282984,236.26,176,177,301.030833,1253386,54.48,0,0,0,"Bogr",50.94,83.86,8.23,4.1,26.8,"NA",1
11,3,82,"090824",,1283025,290.31,152,153,349.3835,1283020,80.25,245,246,289.254,"Arpu",44.26,90.51,15.1,6.92,"NA",49.8,1
11,4,81,"090824",,1283027,292.6,116,117,276.241333,1283026,76.67,794,608,681.6915,"Arpu",55.08,78.86,22.35,8.85,"NA",50.7,1
11,5,88,"090824",,1283021,264.93,147,148,283.6975,1283030,97.23,142,143,170.922333,"Bogr",33.71,71.52,10.13,3.98,29.5,"NA",1
11,6,86,"090824",,1283024,312.86,118,119,287.562,1283029,200.84,289,290,417.211667,"Bogr",50.45,85.21,12.05,4.98,35.5,"NA",1
11,7,83,"090824",,1282996,273.53,107,108,257.119333,1283001,99.53,336,337,439.410333,"Arpu",47.09,74.72,18.29,5.45,"NA",40.7,1
11,8,87,"090824",,1283005,304.38,195,196,422.614167,1283019,241.29,400,401,711.197833,"Bogr",43.15,65.9,11.85,7.14,29.6,"NA",1
17,1,136,"090824",,1253389,198.47,148,149,274.463667,1253388,127.6,358,217,273.826,"Bogr",15.69,40.04,8.22,5.49,20.7,"NA",1
17,2,131,"090824","D",1282984,77.65,87,88,100.657,1253386,74.06,632,633,744.660667,"Arpu","NA","NA","NA","NA","NA","NA",0
17,3,135,"090824",,1283025,135.28,273,119,171.016667,1283020,107.08,668,263,373.728667,"Bogr",13.88,67.09,5.38,3.31,15.2,"NA",1
17,4,134,"090824",,1283027,270.55,157,158,322.761333,1283026,314.16,550,551,938.473667,"Bogr",37.2,87.74,8.1,4.02,22,"NA",1
17,5,132,"090824",,1283021,176.42,158,159,277.812333,1283030,60.37,1,2,2.006833,"Arpu","NA","NA","NA","NA","NA","NA",0
17,6,133,"090824",,1283024,245.63,165,166,327.4765,1283029,333.34,611,612,1019.839167,"Bogr",71,111,8.38,3.19,28.1,"NA",1
17,7,130,"090824",,1282996,59.06,0,0,0,1283001,74.06,530,531,622.1375,"Arpu","NA","NA","NA","NA","NA","NA",0
17,8,129,"090824","D",1283005,84.16,82,83,100.469667,1283019,84.49,272,273,316.3595,"Arpu",9.16,28.02,4.02,2.46,"NA",20.5,1
20,1,154,"090824",,1253389,419.7,144,145,461.038333,1253388,431.53,357,358,1109.393667,"Arpu",51.77,58.03,39.65,15.74,"NA",55.4,1
20,2,160,"090824",,1282984,580.24,292,293,1158.16,1253386,480.65,503,504,1464.832,"Bogr",89.24,127.45,30.03,12.65,41.8,"NA",1
20,3,156,"090824",,1283025,486.07,206,207,600.657333,1283020,75.04,426,266,301.615833,"Arpu",46.41,51.93,25.4,8.61,"NA",55.7,1
20,4,153,"090824",,1283027,336.9,674,197,468.484333,1283026,422.26,336,337,1062.403167,"Arpu",41.68,57.86,33.36,10.36,"NA",60.2,1
