"hobo"	"plot"	"ptemp"	"dur"	"nsec"	"degmin"
1253386	2	59.39	0	0	0
1253386	9	86.45	165	166	207.344667
1253386	12	148.7	117	118	178.329833
1253386	19	257.63	148	149	309.598667
1253386	33	50.21	0	0	0
1253386	40	483.2	180	181	694.765833
1253386	41	16.22	0	0	0
1253386	26	88.73	68	69	86.486667
1253386	24	29.67	0	0	0
1253386	23	62	6	7	7.146167
1253386	27	207.95	92	93	176.379833
1253386	28	47.25	0	0	0
1253388	2	255.3	173	174	333.553333
1253388	9	158.48	250	251	425.033833
1253388	12	51.53	0	0	0
1253388	19	325.87	147	148	350.541167
1253388	33	397.26	212	213	656.599833
1253388	40	460.89	389	390	1378.418333
1253388	41	17.91	0	0	0
1253388	26	31.01	0	0	0
1253388	24	300.78	250	251	739.239833
1253388	23	183.88	79	80	149.262
1253388	27	67.55	8	9	9.599167
1253388	28	425.78	324	325	1078.112
1253389	2	244.97	72	73	157.962833
1253389	9	271.54	100	101	250.6935
1253389	12	87.43	36	37	47.301333
1253389	19	334.96	85	86	221.019667
1253389	33	446.86	117	117	401.353167
1253389	40	375.37	115	116	381.335
1253389	41	16.9	0	0	0
1253389	26	335.61	128	129	393.547167
1253389	24	351.15	85	86	249.521833
1253389	23	125.94	47	48	77.845
1253389	27	163.88	38	39	66.936333
1253389	28	340.47	99	100	295.354167
1282984	2	288.01	74	75	179.5615
1282984	9	301.76	96	97	246.027
1282984	12	134.27	48	49	76.662167
1282984	19	275.18	71	72	172.699833
1282984	33	473.96	106	107	379.5785
1282984	40	358.91	104	105	334.752
1282984	41	25.99	0	0	0
1282984	26	363.76	83	84	218.692833
1282984	24	194.06	67	68	135.435167
1282984	23	201.52	46	47	93.248667
1282984	27	172.35	65	66	131.918667
1282984	28	258.62	88	89	225.469833
1282996	2	283.41	78	79	190.4315
1282996	9	23.98	0	0	0
1282996	12	132.27	47	48	73.016333
1282996	19	222.48	70	71	153.1425
1282996	33	419.06	128	129	362.262833
1282996	40	404.64	107	108	329.976833
1282996	41	29.67	0	0	0
1282996	26	265.92	84	85	205.2335
1282996	24	265.59	73	74	180.7825
1282996	23	217.42	59	60	138.0485
1282996	27	138.96	30	31	52.1375
1282996	28	280.12	91	92	246.822667
1283001	2	73.41	127	128	145.775
1283001	9	23.3	0	0	0
1283001	12	165.58	116	117	207.648833
1283001	19	410.09	192	193	506.061833
1283001	33	352.45	232	233	590.993667
1283001	40	384.39	175	176	521.837833
1283001	41	21.28	0	0	0
1283001	26	345.33	202	203	525.633667
1283001	24	556.38	275	276	1142.215167
1283001	23	34.34	0	0	0
1283001	27	22.29	0	0	0
1283001	28	11.14	0	0	0
1283005	2	297.84	82	83	211.997167
1283005	9	224.16	89	90	201.159333
1283005	12	102.48	32	33	45.243
1283005	19	374.08	89	90	236.809
1283005	33	416.82	97	98	291.385167
1283005	40	393.08	150	151	489.762667
1283005	41	90.69	72	59	69.193167
1283005	26	350.83	101	102	295.688167
1283005	24	442.07	101	102	374.1335
1283005	23	184.22	41	42	82.3855
1283005	27	187.61	40	41	77.943
1283005	28	300.78	83	84	215.837667
1283019	2	246.64	187	188	416.2155
1283019	9	180.15	231	232	376.2945
1283019	12	209.64	153	154	291.537667
1283019	19	379.24	165	166	438.183167
1283019	33	141.3	157	158	259.101667
1283019	40	61.35	29	30	30.308833
1283019	41	89.39	20	21	25.183333
1283019	26	58.41	0	0	0
1283019	24	53.49	0	0	0
1283019	23	77.65	40	41	48.561667
1283019	27	54.48	0	0	0
1283019	28	246.64	139	140	277.736833
1283020	2	46.92	0	0	0
1283020	9	171.33	559	560	1280.9485
1283020	12	45.28	0	0	0
1283020	19	23.98	0	0	0
1283020	33	66.24	86	87	91.797833
1283020	40	325.22	467	468	1377.725167
1283020	41	19.93	0	0	0
1283020	26	300.13	131	132	304.767833
1283020	24	46.59	0	0	0
1283020	23	52.18	0	0	0
1283020	27	63.96	23	24	25.045
1283020	28	41.64	0	0	0
1283021	2	294.24	79	80	211.403667
1283021	9	320.35	92	93	253.646167
1283021	12	85.47	26	27	32.062167
1283021	19	282.42	69	70	172.3925
1283021	33	330.09	95	96	251.083667
1283021	40	260.62	103	104	271.1035
1283021	41	386.65	96	97	296.563833
1283021	26	270.88	96	97	259.181167
1283021	24	300.13	75	76	213.046833
1283021	23	137.95	55	56	99.378
1283021	27	123.28	36	37	56.900667
1283021	28	223.15	106	107	258.695333
1283024	2	326.2	74	75	195.2135
1283024	9	390.83	100	101	307.015833
1283024	12	196.43	58	59	111.3135
1283024	19	330.09	80	81	200.5135
1283024	33	421.3	85	86	256.502
1283024	40	360.85	91	92	273.301667
1283024	41	17.91	0	0	0
1283024	26	256.96	79	80	185.8685
1283024	24	302.74	138	139	394.198167
1283024	23	233.91	95	96	218.633167
1283024	27	186.26	46	47	92.176
1283024	28	371.18	92	93	277.324833
1283025	2	211	72	73	151.623667
1283025	9	427.06	102	103	331.196833
1283025	12	119.96	43	44	63.110333
1283025	19	228.2	97	98	218.146
1283025	33	541.11	176	177	696.273667
1283025	40	382.46	107	108	327.548167
1283025	41	27.67	0	0	0
1283025	26	298.49	85	86	223.285833
1283025	24	411.37	113	114	404.391667
1283025	23	164.9	50	51	95.505667
1283025	27	155.1	45	46	81.946333
1283025	28	289.65	105	106	283.1195
1283026	2	76.02	95	96	110.2705
1283026	9	301.76	522	523	1993.198167
1283026	12	135.61	113	114	170.8085
1283026	19	275.18	135	136	318.336333
1283026	33	147.01	230	231	382.284667
1283026	40	114	170	171	254.2015
1283026	41	21.62	0	0	0
1283026	26	315.14	222	223	522.385
1283026	24	173.37	283	284	518.098
1283026	23	30.01	0	0	0
1283026	27	12.83	0	0	0
1283026	28	187.95	153	154	304.779
1283027	2	270.22	61	62	130.423833
1283027	9	293.91	86	87	221.299833
1283027	12	56.44	0	0	0
1283027	19	224.84	79	80	183.129167
1283027	33	399.18	114	115	374.331333
1283027	40	399.18	86	87	265.8525
1283027	41	29.01	0	0	0
1283027	26	320.67	78	79	204.991833
1283027	24	265.92	68	69	176.4995
1283027	23	161.52	39	40	71.222167
1283027	27	230.89	54	55	115.141667
1283027	28	260.29	78	79	191.554333
1283029	2	345.98	128	129	311.316167
1283029	9	162.53	447	448	789.513833
1283029	12	121.62	171	172	257.8755
1283029	19	159.83	162	163	267.3605
1283029	33	270.22	162	163	414.612
1283029	40	128.93	113	114	168.299
1283029	41	17.23	0	0	0
1283029	26	117.97	315	316	523.609333
1283029	24	43.96	0	0	0
1283029	23	334.63	109	110	270.3695
1283029	27	285.71	84	85	201.811333
1283029	28	11.14	0	0	0
1283030	2	49.56	0	0	0
1283030	9	113.34	136	137	199.172667
1283030	12	92	86	87	110.928333
1283030	19	335.61	145	146	352.750667
1283030	33	220.45	200	201	413.293667
1283030	40	237.94	363	364	863.426667
1283030	41	69.5	26	27	29.3625
1283030	26	14.86	0	0	0
1283030	24	19.93	0	0	0
1283030	23	29.67	0	0	0
1283030	27	108.4	51	52	72.599833
1283030	28	24.98	0	0	0
